what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1304026668822
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1304026668822
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1304026668823
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1304026668823
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1304026668824
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1304026668824
started,bundle,com.google.gdt.eclipse.core,2.2.1.v201103311225,"com.google.gdt.eclipse.core",1304026668825
started,bundle,com.google.gdt.eclipse.designer,2.2.1.r36x201103301817,"com.google.gdt.eclipse.designer",1304026668825
started,bundle,com.google.gdt.eclipse.platform.e36,2.2.1.v201103311225,"com.google.gdt.eclipse.platform.e36",1304026668826
started,bundle,com.google.gdt.eclipse.platform.shared,2.2.1.v201103311225,"com.google.gdt.eclipse.platform.shared",1304026668826
started,bundle,com.google.gwt.eclipse.core,2.2.1.v201103311225,"com.google.gwt.eclipse.core",1304026668826
started,bundle,org.eclipse.wb.core,0.9.0.r36x201103301742,"org.eclipse.wb.core",1304026668827
started,bundle,org.eclipse.wb.core.lib,0.9.0.r36x201103301742,"org.eclipse.wb.core.lib",1304026668827
os,sysinfo,,,"macosx",1304026668837
arch,sysinfo,,,"x86_64",1304026668837
ws,sysinfo,,,"cocoa",1304026668837
locale,sysinfo,,,"en_US",1304026668837
processors,sysinfo,,,"4",1304026668837
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1304026668837
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1304026668837
java.specification.name,sysinfo,,,"Java Platform API Specification",1304026668837
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304026668837
java.specification.version,sysinfo,,,"1.6",1304026668837
java.vendor,sysinfo,,,"Apple Inc.",1304026668837
java.version,sysinfo,,,"1.6.0_24",1304026668837
java.vm.info,sysinfo,,,"mixed mode",1304026668837
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1304026668837
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304026668837
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304026668837
java.vm.specification.version,sysinfo,,,"1.0",1304026668837
java.vm.vendor,sysinfo,,,"Apple Inc.",1304026668837
java.vm.version,sysinfo,,,"19.1-b02-334",1304026668837
started,bundle,com.google.appengine.eclipse.core,2.2.1.v201103311225,"com.google.appengine.eclipse.core",1304026668916
started,bundle,com.google.gdt.eclipse.designer.hosted,2.2.1.r36x201103301757,"com.google.gdt.eclipse.designer.hosted",1304026668947
started,bundle,com.google.gdt.eclipse.designer.hosted.2_2,2.2.1.r36x201103301757,"com.google.gdt.eclipse.designer.hosted.2_2",1304026668952
