what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wb.core.ui,0.9.0.r36x201103301614,"org.eclipse.wb.core.guiEditor",1303933551750
activated,editor,org.eclipse.wb.core.ui,0.9.0.r36x201103301614,"org.eclipse.wb.core.guiEditor",1303933551814
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303933554302
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303933556985
activated,editor,org.eclipse.wb.core.ui,0.9.0.r36x201103301614,"org.eclipse.wb.core.guiEditor",1303933615483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303933690734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303933987378
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303933990327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303934672001
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303934675152
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303934894503
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1303934910980
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1303934910998
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1303934919426
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1303934919428
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1303934919444
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1303934919444
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1303934919474
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303934919572
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303934976520
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1303934976581
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303934979328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303934998414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303935004062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303935007545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303935053314
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1303935053368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303935069897
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303935078692
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavadocView",1303935100921
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavadocView",1303935100959
activated,editor,org.eclipse.wb.core.ui,0.9.0.r36x201103301614,"org.eclipse.wb.core.guiEditor",1303935115461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303935149876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303935155986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303935159255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303935551314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303935554202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303936026036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303936033286
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303936129353
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303936136065
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303936139207
activated,editor,com.google.gwt.eclipse.core,2.2.1.v201103311225,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1303936144042
activated,editor,org.eclipse.wb.core.ui,0.9.0.r36x201103301614,"org.eclipse.wb.core.guiEditor",1303936146093
activated,editor,com.google.gwt.eclipse.core,2.2.1.v201103311225,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1303936152135
activated,editor,org.eclipse.wb.core.ui,0.9.0.r36x201103301614,"org.eclipse.wb.core.guiEditor",1303936156246
